,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
424 Wellington St. W,0.011049723756906077,0.006261510128913444,0.009944751381215469,0.012154696132596687,0.011786372007366482,0.0014732965009208105,-0.0033149171270718232,-0.0022099447513812156,0.0,-0.0036832412523020255,-0.0066298342541436465,-0.011786372007366482,0.023204419889502788,0.0548802946593001,0.022099447513812185,0.004051565377532229,-0.0029465930018416206,0.0033149171270718224,0.008103130755064455,0.01620626151012893,-0.03204419889502762,-0.03830570902394104,-0.03793738489871084,0.005156537753222836
Dovercourt Rd / Harrison St - SMART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathurst Subway Station,-0.004083593562334853,-0.004083593562334852,-0.007686764352630311,-0.005284650492433339,-0.0016814797021378815,0.00024021138601969732,0.0,0.0012010569300984866,0.00024021138601969732,0.000720634158059092,-0.00024021138601969732,-0.002402113860196973,-0.026423252462166764,-0.006485707422531825,-0.002161902474177276,0.0007206341580590922,-0.0031227480182560645,-0.005524861878453036,-0.005044439106413642,-0.0009608455440787896,0.002161902474177275,0.01705500840739853,0.006485707422531825,-0.00024021138601969765
Church St / Dundas St E - SMART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palmerston Ave / Vermont Ave,-0.000736648250460405,0.002578268876611418,0.000736648250460405,0.00441988950276243,0.0018416206261510127,0.0,-0.00036832412523020257,-0.0011049723756906078,-0.00036832412523020257,-0.0055248618784530384,-0.0066298342541436465,-0.011418047882136278,-0.03720073664825044,-0.037569060773480635,-0.02062615101289137,-0.004788213627992633,-0.0066298342541436465,-0.004788213627992633,-0.0018416206261510127,0.00294659300184162,0.01546961325966852,0.027255985267035,0.022836095764272587,0.0029465930018416206
Spadina Ave / Adelaide St W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dundas St W / Yonge St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rusholme Park Cres / College St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bay St / Albert St,-0.026198538584922455,-0.014079486722509346,-0.01104972375690607,-0.008911067545891991,-0.004633755123863836,-0.0010693281055070398,0.0003564427018356799,-0.0003564427018356799,-0.0010693281055070398,0.0023168775619319187,0.008376403493138472,0.045268223133131336,0.1074674746034581,0.07164498306897235,0.026554981286758136,0.01104972375690607,0.0042773124220281565,0.014614150775262865,0.01158438780965959,-0.00998039565139903,-0.06344680092675149,-0.06398146497950503,-0.03439672072714309,-0.02067367670646942
Ulster St / Bathurst St,0.004520341536916123,-0.009040683073832243,0.0095429432446007,0.008538422903063786,0.008538422903063786,0.003515821195379207,0.006027122049221498,-0.0005022601707684579,0.0,-0.001004520341536916,-0.005022601707684582,-0.03766951280763433,-0.0627825213460574,-0.047212456052235056,-0.015067805123053736,-0.015570065293822193,-0.01205424409844299,-0.005022601707684583,-0.005022601707684582,-0.0020090406830738324,0.0075339025615268704,0.02059266700150677,1.533457216333089e-19,0.008538422903063786
